Property_ID,District,Unit_Type,Developer,Area_sqm,Price_EGP,Status
NAC-0381,Diplomatic Quarter,Office,Better Home,464,18939088,Under Construction
NAC-0382,R8 District,Retail Shop,Talaat Moustafa,339,10297125,Under Construction
NAC-0383,R7 District,Retail Shop,Sodic,308,12743808,Under Construction
NAC-0384,R8 District,Office,Ora,383,9935786,Off-plan
NAC-0385,Financial District,Retail Shop,Misr Italia,159,10545357,Ready to Move
NAC-0386,Financial District,Retail Shop,Misr Italia,464,29711312,Off-plan
NAC-0387,R8 District,Villa,Talaat Moustafa,381,9802749,Ready to Move
NAC-0388,Diplomatic Quarter,Villa,Ora,305,10829025,Ready to Move
NAC-0389,R8 District,Apartment,Ora,222,6386940,Ready to Move
NAC-0390,Financial District,Villa,New Plan,442,34991814,Ready to Move
NAC-0391,Investors Area,Apartment,Better Home,380,14618220,Under Construction
NAC-0392,Investors Area,Studio,Misr Italia,65,1563250,Ready to Move
NAC-0393,R7 District,Apartment,New Plan,205,5052430,Ready to Move
NAC-0394,Financial District,Studio,Talaat Moustafa,460,30941440,Off-plan
NAC-0395,Diplomatic Quarter,Retail Shop,Better Home,207,7787133,Ready to Move
NAC-0396,Investors Area,Apartment,New Plan,121,5211712,Off-plan
NAC-0397,R8 District,Villa,New Plan,197,8139252,Under Construction
NAC-0398,R7 District,Office,Misr Italia,394,17465232,Under Construction
NAC-0399,CBD (Towers),Retail Shop,Better Home,131,9796442,Ready to Move
NAC-0400,R8 District,Apartment,Talaat Moustafa,190,6562410,Ready to Move
NAC-0401,Investors Area,Retail Shop,Ora,95,2943765,Under Construction
NAC-0402,Financial District,Retail Shop,Talaat Moustafa,157,8633744,Ready to Move
NAC-0403,Financial District,Retail Shop,Ora,189,10695321,Off-plan
NAC-0404,CBD (Towers),Studio,Better Home,499,32547275,Off-plan
NAC-0405,R7 District,Office,Better Home,80,2304880,Off-plan
NAC-0406,R7 District,Studio,Misr Italia,119,4400025,Off-plan
NAC-0407,Investors Area,Studio,Better Home,72,1942344,Off-plan
NAC-0408,R8 District,Office,Better Home,360,15052680,Off-plan
NAC-0409,R7 District,Office,Ora,193,7608639,Under Construction
NAC-0410,R8 District,Studio,Talaat Moustafa,211,8610277,Off-plan
NAC-0411,R7 District,Studio,Better Home,138,3265632,Off-plan
NAC-0412,R7 District,Retail Shop,Sodic,407,10187210,Ready to Move
NAC-0413,Financial District,Studio,Talaat Moustafa,467,28196059,Off-plan
NAC-0414,CBD (Towers),Studio,Sodic,224,21348096,Off-plan
NAC-0415,Investors Area,Villa,New Plan,144,5311440,Under Construction
NAC-0416,R8 District,Studio,Misr Italia,323,8413504,Off-plan
NAC-0417,R8 District,Studio,Sodic,152,5921008,Under Construction
NAC-0418,Diplomatic Quarter,Apartment,Talaat Moustafa,309,13695498,Under Construction
NAC-0419,Financial District,Villa,Better Home,386,20708900,Ready to Move
NAC-0420,CBD (Towers),Office,Better Home,236,14706576,Ready to Move
NAC-0421,R8 District,Villa,New Plan,472,18827136,Ready to Move
NAC-0422,Financial District,Office,Talaat Moustafa,243,10342323,Under Construction
NAC-0423,R7 District,Villa,Misr Italia,205,7789385,Off-plan
NAC-0424,Financial District,Apartment,Better Home,382,17107488,Ready to Move
NAC-0425,R8 District,Apartment,Better Home,491,14431963,Off-plan
NAC-0426,Financial District,Retail Shop,Ora,365,26607040,Ready to Move
NAC-0427,Diplomatic Quarter,Apartment,Sodic,65,2448290,Off-plan
NAC-0428,CBD (Towers),Villa,Better Home,179,18418026,Ready to Move
NAC-0429,Financial District,Office,Talaat Moustafa,485,20009160,Under Construction
NAC-0430,R7 District,Studio,New Plan,493,18036405,Under Construction
NAC-0431,R7 District,Office,Better Home,180,7750620,Off-plan
NAC-0432,R7 District,Studio,New Plan,218,7836882,Off-plan
NAC-0433,Diplomatic Quarter,Apartment,Talaat Moustafa,296,8301616,Ready to Move
NAC-0434,R7 District,Villa,Sodic,336,13976928,Under Construction
NAC-0435,Financial District,Apartment,Talaat Moustafa,443,25295300,Ready to Move
NAC-0436,CBD (Towers),Office,Better Home,114,12704730,Off-plan
NAC-0437,Diplomatic Quarter,Villa,New Plan,489,18554616,Off-plan
NAC-0438,Diplomatic Quarter,Apartment,Better Home,334,11166622,Ready to Move
NAC-0439,R7 District,Apartment,Talaat Moustafa,438,19039422,Ready to Move
NAC-0440,Diplomatic Quarter,Retail Shop,Better Home,374,10232640,Off-plan
NAC-0441,Investors Area,Apartment,Misr Italia,266,5996970,Under Construction
NAC-0442,Financial District,Villa,Better Home,129,8250582,Off-plan
NAC-0443,Diplomatic Quarter,Apartment,New Plan,436,18718788,Off-plan
NAC-0444,CBD (Towers),Retail Shop,Better Home,243,18941607,Ready to Move
NAC-0445,Investors Area,Villa,Sodic,81,2825928,Under Construction
NAC-0446,Diplomatic Quarter,Retail Shop,Sodic,457,13143320,Ready to Move
NAC-0447,R7 District,Studio,Ora,333,12413574,Ready to Move
NAC-0448,CBD (Towers),Villa,Sodic,300,21260400,Off-plan
NAC-0449,Financial District,Villa,Better Home,174,8632662,Ready to Move
NAC-0450,R8 District,Villa,Talaat Moustafa,144,5584320,Ready to Move
NAC-0451,CBD (Towers),Apartment,Sodic,442,47907938,Off-plan
NAC-0452,CBD (Towers),Office,Sodic,380,42522000,Ready to Move
NAC-0453,R8 District,Apartment,Misr Italia,118,5207930,Off-plan
NAC-0454,CBD (Towers),Retail Shop,Sodic,382,42287018,Off-plan
NAC-0455,Investors Area,Retail Shop,Better Home,267,8833161,Off-plan
NAC-0456,Investors Area,Villa,Better Home,151,6394095,Ready to Move
NAC-0457,CBD (Towers),Office,Ora,371,27295954,Under Construction
NAC-0458,R8 District,Retail Shop,Better Home,469,14509922,Ready to Move
NAC-0459,R7 District,Retail Shop,Better Home,307,7440759,Off-plan
NAC-0460,R7 District,Apartment,Misr Italia,346,13110978,Off-plan
NAC-0461,R8 District,Retail Shop,Ora,488,14208608,Under Construction
NAC-0462,CBD (Towers),Retail Shop,Ora,130,14817140,Under Construction
NAC-0463,Diplomatic Quarter,Apartment,New Plan,357,12906978,Off-plan
NAC-0464,R7 District,Retail Shop,Better Home,123,4527876,Ready to Move
NAC-0465,R8 District,Apartment,New Plan,87,2244513,Ready to Move
NAC-0466,R7 District,Apartment,Ora,313,13170101,Off-plan
NAC-0467,R8 District,Apartment,Sodic,376,16634240,Ready to Move
NAC-0468,CBD (Towers),Apartment,New Plan,163,18921855,Ready to Move
NAC-0469,R7 District,Office,Sodic,123,5404128,Under Construction
NAC-0470,Diplomatic Quarter,Villa,Sodic,349,14858675,Under Construction
NAC-0471,R7 District,Studio,Talaat Moustafa,493,18099509,Ready to Move
NAC-0472,Diplomatic Quarter,Studio,Ora,164,5063992,Off-plan
NAC-0473,R8 District,Studio,Ora,133,3789968,Off-plan
NAC-0474,R7 District,Villa,Talaat Moustafa,433,12624548,Ready to Move
NAC-0475,Diplomatic Quarter,Retail Shop,Talaat Moustafa,100,3010100,Under Construction
NAC-0476,Investors Area,Retail Shop,Sodic,310,8861660,Under Construction
NAC-0477,Investors Area,Retail Shop,New Plan,283,7571665,Under Construction
NAC-0478,Financial District,Apartment,Better Home,386,16457882,Ready to Move
NAC-0479,R8 District,Villa,Better Home,208,6376032,Under Construction
NAC-0480,Financial District,Retail Shop,New Plan,72,4781880,Ready to Move
NAC-0481,CBD (Towers),Retail Shop,Misr Italia,495,39087675,Off-plan
NAC-0482,Diplomatic Quarter,Studio,Misr Italia,347,10125460,Off-plan
NAC-0483,Financial District,Office,Talaat Moustafa,433,34534781,Under Construction
NAC-0484,Financial District,Villa,Better Home,438,25622124,Off-plan
NAC-0485,Diplomatic Quarter,Office,New Plan,344,11694280,Ready to Move
NAC-0486,CBD (Towers),Retail Shop,Ora,95,8565390,Under Construction
NAC-0487,R8 District,Apartment,New Plan,494,16515408,Under Construction
NAC-0488,R7 District,Apartment,Sodic,119,3841677,Off-plan
NAC-0489,R8 District,Apartment,Misr Italia,95,2528805,Ready to Move
NAC-0490,CBD (Towers),Office,Misr Italia,71,3759379,Under Construction
NAC-0491,Investors Area,Villa,Sodic,248,8398024,Ready to Move
NAC-0492,Financial District,Retail Shop,Ora,452,20013656,Under Construction
NAC-0493,CBD (Towers),Studio,Better Home,143,12111385,Ready to Move
NAC-0494,Financial District,Studio,Talaat Moustafa,202,8203422,Off-plan
NAC-0495,R8 District,Studio,New Plan,490,17465560,Under Construction
NAC-0496,R7 District,Villa,Talaat Moustafa,190,8447020,Under Construction
NAC-0497,CBD (Towers),Office,Misr Italia,96,8022336,Under Construction
NAC-0498,Diplomatic Quarter,Office,Misr Italia,122,4471422,Off-plan
NAC-0499,Investors Area,Villa,Talaat Moustafa,129,5762301,Under Construction
NAC-0500,Diplomatic Quarter,Studio,Talaat Moustafa,323,11206485,Under Construction
